m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	2	2	17	-1.9	0	-6.9	69.0	0	3.0	350	226	0.0	0.0	3.0	-3.97	2.38	0	0	0	0.0	0.0	0	0	298
1	2	2	18	-2.6	0	-6.6	74.0	0	2.0	10	221	0.0	0.0	3.0	-12.06	2.38	0	0	0	0.0	0.0	0	0	293
1	2	2	19	-3.8	0	-6.8	80.0	0	2.0	330	215	0.0	0.0	3.0	-20.82	2.38	0	0	0	0.0	0.0	0	0	287
1	2	2	20	-4.4	0	-6.6	85.0	0	2.0	340	212	0.0	0.0	3.0	-29.92	2.38	0	0	0	0.0	0.0	0	0	285
1	2	2	21	-4.6	0	-6.6	86.0	0	2.0	340	211	0.0	0.0	2.0	-38.99	2.38	0	0	0	0.0	0.0	0	0	283
1	2	2	22	-4.6	0	-6.6	86.0	0	3.0	360	211	0.0	0.0	2.0	-47.55	2.38	0	0	0	0.0	0.0	0	0	286
1	2	2	23	-5.0	0	-6.8	87.0	0	3.0	350	215	0.0	0.0	2.0	-54.82	2.38	0	0	0	0.0	0.0	0	0	284
1	2	2	24	-5.6	0	-7.1	89.0	0	2.0	340	206	0.0	0.0	2.0	-59.56	2.38	0	0	0	0.0	0.0	0	0	279
1	3	3	1	-5.8	0	-6.8	93.0	0	2.0	360	205	0.0	0.0	2.0	-60.30	2.27	0	0	0	0.0	0.0	0	0	278
1	3	3	2	-6.4	0	-7.4	93.0	0	2.0	10	202	0.0	0.0	2.0	-56.91	2.27	0	0	0	0.0	0.0	0	0	276
1	3	3	3	-6.5	0	-7.2	95.0	0	2.0	20	202	0.0	0.0	1.0	-50.44	2.27	0	0	0	0.0	0.0	0	0	275
1	3	3	4	-7.2	0	-7.7	96.0	0	2.0	20	199	0.0	0.0	1.0	-42.26	2.27	0	0	0	0.0	0.0	0	0	272
1	3	3	5	-7.5	0	-8.0	96.0	0	1.0	30	197	0.0	0.0	1.0	-33.32	2.27	0	0	0	0.0	0.0	0	0	268
1	3	3	6	-7.7	0	-8.4	95.0	0	2.0	30	196	0.0	0.0	1.0	-24.18	2.27	0	0	0	0.0	0.0	0	0	270
1	3	3	7	-7.5	0	-8.0	96.0	0	2.0	40	197	0.0	0.0	1.0	-15.25	2.27	0	0	0	0.0	0.0	0	0	271
1	3	3	8	-7.7	0	-8.5	94.0	0	2.0	60	197	0.0	0.0	1.0	-6.86	2.27	0	0	0	0.0	0.0	0	0	270
1	3	3	9	-7.3	25	-8.2	93.0	17	3.0	70	199	0.0	29.2	0.0	3.95	2.27	116	16	9	27.7	15.0	11	0	282
1	3	3	10	-6.4	111	-7.1	95.0	39	2.0	80	203	0.0	52.3	0.0	6.90	2.27	599	94	28	169.6	89.6	46	0	288
1	3	3	11	-5.2	186	-6.0	94.0	50	2.0	100	208	0.0	52.8	0.0	11.53	2.27	680	175	39	282.2	167.8	78	0	295
1	3	3	12	-4.1	225	-6.9	81.0	61	4.0	120	214	0.0	51.8	0.0	14.18	2.27	669	227	44	345.8	217.0	95	0	300
1	3	3	13	-3.0	192	-7.5	71.0	114	3.0	100	225	0.1	34.5	6.0	14.62	2.27	309	236	45	356.3	225.6	82	0	305
1	3	3	14	-3.6	187	-8.3	70.0	56	3.0	90	216	0.0	44.1	0.0	12.80	2.27	591	201	41	312.9	192.1	79	0	302
1	3	3	15	-3.9	111	-8.4	71.0	61	3.0	90	214	0.0	29.5	5.0	8.90	2.27	323	129	33	218.5	123.1	47	0	299
1	3	3	16	-4.8	34	-9.1	72.0	28	2.0	90	211	0.0	19.5	5.0	6.26	2.27	55	43	18	75.2	40.9	16	0	292
1	3	3	17	-5.9	0	-9.3	77.0	0	2.0	110	205	0.4	0.0	4.0	-3.84	2.27	0	0	0	0.0	0.0	0	2	279
1	3	3	18	-7.4	0	-9.8	83.0	0	2.0	100	198	0.1	0.0	4.0	-11.92	2.27	0	0	0	0.0	0.0	0	3	273
1	3	3	19	-7.9	0	-10.5	82.0	0	3.0	110	196	0.0	0.0	4.0	-20.68	2.27	0	0	0	0.0	0.0	0	3	273
1	3	3	20	-8.5	0	-11.0	82.0	0	3.0	120	193	0.0	0.0	4.0	-29.79	2.27	0	0	0	0.0	0.0	0	3	270
1	3	3	21	-9.0	0	-11.2	84.0	0	3.0	110	191	0.0	0.0	3.0	-38.86	2.27	0	0	0	0.0	0.0	0	3	268
1	3	3	22	-9.6	0	-11.7	85.0	0	3.0	120	188	0.0	0.0	3.0	-47.42	2.27	0	0	0	0.0	0.0	0	3	265
1	3	3	23	-10.0	0	-12.4	83.0	0	3.0	120	186	0.0	0.0	3.0	-54.69	2.27	0	0	0	0.0	0.0	0	3	264
