m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	2	2	17	1.5	0	1.5	100.0	0	1.0	340	307	0.0	0.0	8.0	-3.97	2.38	0	0	0	0.0	0.0	0	0	309
1	2	2	18	1.4	0	1.3	99.0	0	1.0	360	307	0.0	0.0	8.0	-12.06	2.38	0	0	0	0.0	0.0	0	0	308
1	2	2	19	1.2	0	1.1	99.0	0	2.0	330	306	0.0	0.0	8.0	-20.82	2.38	0	0	0	0.0	0.0	0	0	310
1	2	2	20	1.4	0	1.3	99.0	0	2.0	340	288	0.0	0.0	8.0	-29.92	2.38	0	0	0	0.0	0.0	0	0	311
1	2	2	21	1.4	0	1.3	99.0	0	2.0	350	307	0.0	0.0	8.0	-38.99	2.38	0	0	0	0.0	0.0	0	0	311
1	2	2	22	1.5	0	1.5	100.0	0	1.0	360	307	0.0	0.0	8.0	-47.55	2.38	0	0	0	0.0	0.0	0	0	309
1	2	2	23	1.5	0	1.5	100.0	0	1.0	350	307	0.0	0.0	8.0	-54.82	2.38	0	0	0	0.0	0.0	0	0	309
1	2	2	24	1.4	0	1.3	99.0	0	2.0	360	307	0.7	0.0	8.0	-59.56	2.38	0	0	0	0.0	0.0	0	0	311
1	3	3	1	1.2	0	1.1	99.0	0	0.0	360	306	0.0	0.0	8.0	-60.30	2.27	0	0	0	0.0	0.0	0	0	304
1	3	3	2	1.0	0	0.9	99.0	0	2.0	330	286	0.0	0.0	8.0	-56.91	2.27	0	0	0	0.0	0.0	0	0	309
1	3	3	3	0.7	0	0.7	100.0	0	2.0	330	285	0.0	0.0	8.0	-50.44	2.27	0	0	0	0.0	0.0	0	0	308
1	3	3	4	0.0	0	-0.3	98.0	0	2.0	340	266	0.3	0.0	8.0	-42.26	2.27	0	0	0	0.0	0.0	0	1	305
1	3	3	5	0.3	0	-0.1	97.0	0	2.0	340	283	0.1	0.0	8.0	-33.32	2.27	0	0	0	0.0	0.0	0	1	306
1	3	3	6	-0.7	0	-1.0	98.0	0	2.0	310	232	0.0	0.0	8.0	-24.18	2.27	0	0	0	0.0	0.0	0	1	301
1	3	3	7	-0.9	0	-1.2	98.0	0	2.0	310	277	0.0	0.0	8.0	-15.25	2.27	0	0	0	0.0	0.0	0	1	301
1	3	3	8	-0.2	0	-0.2	100.0	0	2.0	10	299	0.0	0.0	8.0	-6.86	2.27	0	0	0	0.0	0.0	0	1	304
1	3	3	9	-0.1	8	-0.2	99.0	8	2.0	320	300	0.0	0.2	8.0	3.95	2.27	0	16	9	27.7	3.7	4	1	313
1	3	3	10	0.2	25	-0.1	98.0	22	3.0	300	301	0.0	0.4	8.0	6.90	2.27	25	94	28	169.6	22.1	12	1	315
1	3	3	11	0.5	33	0.5	100.0	33	2.0	300	303	0.0	0.3	8.0	11.53	2.27	0	175	39	282.2	41.4	16	1	316
1	3	3	12	0.6	50	0.6	100.0	50	1.0	320	303	0.0	0.4	8.0	14.18	2.27	0	227	44	345.8	53.5	24	0	316
1	3	3	13	0.6	64	0.6	100.0	64	2.0	300	303	0.0	0.7	8.0	14.62	2.27	0	236	45	356.3	55.6	30	0	316
1	3	3	14	0.7	53	0.7	100.0	53	3.0	310	304	0.0	0.6	8.0	12.80	2.27	0	201	41	312.9	47.3	25	0	318
1	3	3	15	0.6	25	0.6	100.0	25	3.0	300	303	0.0	0.3	8.0	8.90	2.27	0	129	33	218.5	30.4	12	0	317
1	3	3	16	0.6	6	0.6	100.0	6	2.0	310	303	0.0	0.0	8.0	6.26	2.27	0	43	18	75.2	10.1	3	0	316
1	3	3	17	0.5	0	0.5	100.0	0	2.0	310	268	0.0	0.0	8.0	-3.84	2.27	0	0	0	0.0	0.0	0	0	307
1	3	3	18	0.6	0	0.6	100.0	0	3.0	320	269	0.0	0.0	8.0	-11.92	2.27	0	0	0	0.0	0.0	0	0	309
1	3	3	19	0.5	0	0.5	100.0	0	3.0	310	303	0.0	0.0	8.0	-20.68	2.27	0	0	0	0.0	0.0	0	0	309
1	3	3	20	0.4	0	0.1	98.0	0	2.0	320	302	0.0	0.0	8.0	-29.79	2.27	0	0	0	0.0	0.0	0	0	306
1	3	3	21	0.2	0	-0.1	98.0	0	2.0	320	282	0.0	0.0	8.0	-38.86	2.27	0	0	0	0.0	0.0	0	0	305
1	3	3	22	0.0	0	-0.3	98.0	0	2.0	340	281	0.6	0.0	8.0	-47.42	2.27	0	0	0	0.0	0.0	0	3	305
1	3	3	23	-0.2	0	-0.2	100.0	0	3.0	340	280	0.2	0.0	8.0	-54.69	2.27	0	0	0	0.0	0.0	0	3	306
1	3	3	24	-0.4	0	-0.4	100.0	0	2.0	320	279	1.6	0.0	8.0	-59.45	2.27	0	0	0	0.0	0.0	0	11	303
1	4	4	1	-0.6	0	-0.9	98.0	0	2.0	330	297	0.0	0.0	8.0	-60.21	2.34	0	0	0	0.0	0.0	0	11	302
1	4	4	2	-0.7	0	-1.1	97.0	0	2.0	330	297	0.1	0.0	8.0	-56.86	2.34	0	0	0	0.0	0.0	0	11	301
1	4	4	3	-0.9	0	-1.3	97.0	0	2.0	320	296	0.2	0.0	8.0	-50.41	2.34	0	0	0	0.0	0.0	0	12	301
1	4	4	4	-1.2	0	-1.2	100.0	0	2.0	320	294	1.3	0.0	8.0	-42.25	2.34	0	0	0	0.0	0.0	0	18	299
1	4	4	5	-1.2	0	-1.2	100.0	0	2.0	330	294	0.0	0.0	8.0	-33.31	2.34	0	0	0	0.0	0.0	0	18	299
1	4	4	6	-1.2	0	-1.2	100.0	0	2.0	330	275	0.0	0.0	8.0	-24.17	2.34	0	0	0	0.0	0.0	0	18	299
1	4	4	7	-1.2	0	-1.2	100.0	0	2.0	330	275	0.0	0.0	8.0	-15.24	2.34	0	0	0	0.0	0.0	0	18	299
1	4	4	8	-1.1	0	-1.1	100.0	0	2.0	340	295	0.0	0.0	8.0	-6.84	2.34	0	0	0	0.0	0.0	0	18	300
1	4	4	9	-1.0	0	-1.3	98.0	0	2.0	340	295	0.0	0.0	8.0	3.99	2.34	0	16	9	28.2	4.4	0	18	300
